ID_REF,IDENTIFIER,GSM1068478,GSM1068479,GSM1068481,GSM1068482,GSM1068483,GSM1068486,GSM1068487,GSM1068488,GSM1068490,GSM1068491,GSM1068492,GSM1068493,GSM1068494,GSM1068495,GSM1068496,GSM1068498,GSM1068499,GSM1068500,GSM1068502,GSM1068503,GSM1068505,GSM1068506,GSM1068507,GSM1068508,GSM1068510,GSM1068512,GSM1068513,GSM1068514,GSM1068517,GSM1068518,GSM1068520,GSM1068521,GSM1068522,GSM1068524,GSM1068527,GSM1068480,GSM1068484,GSM1068485,GSM1068489,GSM1068497,GSM1068501,GSM1068504,GSM1068509,GSM1068511,GSM1068515,GSM1068516,GSM1068519,GSM1068523,GSM1068525,GSM1068526,GSM1068458,GSM1068459,GSM1068460,GSM1068461,GSM1068464,GSM1068468,GSM1068472,GSM1068473,GSM1068474,GSM1068476,GSM1068477,GSM1068462,GSM1068463,GSM1068465,GSM1068466,GSM1068467,GSM1068469,GSM1068470,GSM1068471,GSM1068475,GSM1068528,GSM1068531,GSM1068532,GSM1068533,GSM1068535,GSM1068537,GSM1068538,GSM1068539,GSM1068540,GSM1068542,GSM1068543,GSM1068544,GSM1068545,GSM1068546,GSM1068547,GSM1068548,GSM1068549,GSM1068550,GSM1068551,GSM1068552,GSM1068555,GSM1068556,GSM1068557,GSM1068560,GSM1068561,GSM1068562,GSM1068563,GSM1068565,GSM1068529,GSM1068530,GSM1068534,GSM1068536,GSM1068541,GSM1068553,GSM1068554,GSM1068558,GSM1068559,GSM1068564
A_23_P100001,FAM174B,11.765,11.1503,11.8238,10.963,11.6347,11.0797,11.307,11.173,11.0122,11.1238,11.179,11.3034,11.7204,11.0367,11.731,11.2743,11.2198,11.8597,11.1804,11.132,11.1006,11.1647,11.123,11.5222,10.9591,11.6677,11.3129,10.806,11.5437,11.0398,11.359,11.1395,10.7667,11.3151,11.185,11.4219,11.6395,10.762,11.1309,11.6468,10.7501,11.1574,11.223,10.6948,10.4301,11.0375,11.4294,11.4957,11.3173,11.1412,11.1303,10.9253,10.9843,11.1624,11.0414,11.3187,11.3187,11.1236,11.3149,10.8024,10.701,11.2,11.3504,11.348,11.2633,11.2527,11.6228,11.3005,11.0521,11.1518,11.2292,10.9248,11.1576,11.3568,10.6201,11.1102,10.8322,11.6494,11.6061,11.2311,11.181,10.9883,11.1155,10.8786,10.8294,11.1127,8.63974,11.0272,10.9426,10.9299,11.3844,10.9297,11.4685,11.0709,11.5702,10.9714,10.8905,11.3231,11.4621,11.1346,11.5331,11.307,11.0341,10.6863,11.1307,11.1956,11.1311,10.7913
A_23_P100011,AP3S2,6.68845,6.29378,5.77885,6.20746,4.7852,5.38453,5.88975,6.39307,6.00136,5.68254,5.95714,5.67779,6.74034,6.35601,5.61099,6.62565,6.31916,6.40693,5.19555,6.19077,5.85951,6.4941,6.58236,6.26099,6.52714,6.51948,6.41427,5.70883,6.33039,6.26036,6.20242,5.94214,5.0369,6.48535,6.12247,5.79675,5.81072,5.7294,6.00618,6.26296,5.83011,6.57679,4.96956,6.48368,6.01286,5.98603,6.04446,6.57715,6.20802,5.95251,7.12339,5.71381,6.13611,6.34061,6.0212,5.75553,5.66791,5.58193,6.46421,6.49709,5.64214,5.79401,6.12292,5.85755,6.27854,6.27389,6.0057,6.27989,5.75693,5.96002,5.15579,6.02141,5.81462,5.79652,6.30149,5.77316,6.09637,6.11235,5.76936,5.85617,6.11452,5.60082,5.98538,6.35644,5.68928,5.82192,5.86333,6.33869,5.89794,5.73583,6.33731,5.77639,6.0611,6.14981,6.47363,5.93867,5.90826,6.96678,6.53933,5.77446,5.8417,5.98821,5.76583,5.92124,5.72922,6.91738,6.35952,6.13216
A_23_P100022,SV2B,6.40638,6.5399,2.94554,5.62157,6.12992,5.64204,6.80579,5.7452,6.05809,5.0467,4.878,5.86196,4.65692,6.17647,5.88535,7.42021,5.77063,4.97303,5.70357,6.26268,5.13132,4.0984,5.02266,5.69259,5.94387,3.34231,5.69723,5.22939,7.06631,5.00468,5.57106,5.09968,6.14753,6.09846,4.83827,4.86169,5.01072,5.86825,4.54302,6.38637,6.26661,5.47777,6.43145,6.10853,5.67946,6.33189,4.3996,6.52624,4.5535,4.18106,2.7146,7.01957,5.33086,4.13075,6.29558,7.41385,5.73924,6.30961,6.56056,5.26447,7.00057,6.7337,5.07831,5.62542,5.98102,6.42909,6.4986,7.09718,6.70073,6.73196,5.51513,1.90464,3.99724,3.01557,3.65579,3.34119,4.81731,6.40721,4.55486,4.64922,4.19717,4.85317,4.42653,4.86807,5.6465,3.96164,4.61192,5.11169,6.4258,5.60339,7.06084,3.99773,6.16341,4.90779,5.95182,6.03255,3.30428,6.02888,6.06607,5.03564,5.23585,4.78694,2.93856,4.82587,4.44784,5.80114,5.78344,5.36149
A_23_P100056,RBPMS2,1.88171,1.43777,1.47388,1.50057,1.42719,1.41453,1.31007,1.50026,1.58497,1.30685,1.26722,1.50823,1.63612,1.40437,1.22702,1.43101,1.33114,1.4849,1.43354,1.13397,2.79712,1.44332,1.59661,1.34753,1.32486,1.47667,1.42964,1.44916,1.34675,1.41636,1.40273,1.26363,1.24992,1.43526,1.35293,1.37554,1.3484,1.40064,1.35175,1.32434,1.39578,1.30518,1.33209,3.29595,1.08145,1.34814,1.4468,1.41064,1.35035,1.42746,1.36539,1.34634,1.25905,1.32326,1.4124,1.32643,1.43161,1.37859,1.15849,2.36598,1.29042,1.28993,1.37254,2.11807,1.46249,1.3883,1.06016,1.30129,1.4389,1.21317,1.50536,1.38185,1.33638,1.28644,1.54436,1.50308,2.53955,1.55233,1.47302,1.46934,1.39361,1.40106,1.25495,1.81661,1.24646,1.96898,1.45166,1.38832,1.77763,1.33006,1.38013,1.45037,1.36368,1.26011,1.30653,1.21119,1.3735,1.25121,1.8727,1.42304,1.35702,1.89157,1.98907,2.01289,1.26051,2.84686,1.42486,1.76015
A_23_P100074,AVEN,9.16313,8.79248,9.41351,9.75378,8.85106,9.07236,9.14032,9.32616,9.34733,8.71094,8.84877,9.71358,9.74729,9.2987,8.95268,9.06268,9.47562,8.85335,8.99998,8.92122,9.09824,8.56488,9.21567,8.9457,9.21632,9.04936,9.17751,9.29278,9.35544,9.36426,9.39383,8.86068,8.77236,9.50349,9.45528,9.12074,9.22528,9.28662,9.10911,9.33347,9.1736,9.11138,8.53405,8.95845,9.33954,9.31444,9.49442,9.29779,9.42501,9.16215,9.34593,9.03411,9.44365,8.74896,9.44933,9.45674,9.11038,8.99246,9.09766,9.22826,9.17427,9.43373,9.44913,9.44688,9.21078,9.30809,9.14798,9.08961,9.26903,9.07203,9.20742,8.89242,9.20342,8.80528,9.37597,8.48858,9.38708,9.79031,8.92688,9.00594,8.93833,8.89184,8.84541,9.27454,8.97328,9.00049,8.76786,9.27259,9.05844,8.93001,9.358,9.10526,9.47802,9.3036,9.5216,9.69896,8.80771,9.17053,9.71164,9.03423,9.42655,9.183,9.36121,9.40767,9.31643,9.35973,8.86756,8.94563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
